identity,email,name,gender,school,nationality,course,index,AU
U1900250B,John@gmail.com,John,FALSE,CE,Singapore,CE2001~CE2002~,0~0~,3
U1900251B,Jack@gmail.com,Jack,FALSE,CE,Singapore,CE2001~CE2002~CE2003~,0~0~1~,6
U1900252B,Andy@gmail.com,Andy,FALSE,CE,Singapore,CE2001~CE2002~CE2003~,0~0~1~,6
U1900253B,Mila@gmail.com,Mila,TRUE,CE,Singapore,CE2001~CE2002~CE2003~,0~0~1~,6
U1900254B,Rachel@gmail.com,Rachel,TRUE,CE,Singapore,CE2001~CE2002~CE2003~,0~0~1~,6
U1900255B,Chris@gmail.com,Chris,FALSE,CE,Singapore,CE2001~CE2002~CE2003~,0~0~1~,6
U1900256B,Nick@gmail.com,Nick,FALSE,CE,Malaysia,CE2001~CE2002~CE2003~,0~0~1~,6
U1900257B,Anderson@gmail.com,Anderson,FALSE,CE,Singapore,CE2001~CE2002~CE2003~,0~0~1~,6
U1900258B,Mike@gmail.com,Mike,FALSE,CS,Singapore,CE2001~CE2002~CE2003~,0~0~1~,6
U1900259B,Neo@gmail.com,Neo,FALSE,CS,Singapore,CE2001~CE2002~CE2003~,0~0~1~,6
U1900260B,Julia@gmail.com,Julia,TRUE,CS,Singapore,1~1~1~,1~0~1~,9
U1900261B,Jennifer@gmail.com,Jennifer,TRUE,CS,Singapore,CE2002~CE2003~,1~0~,5
U1900262B,Lopez@gmail.com,Lopez,FALSE,CS,Singapore,CE2001~CE2004~,1~1~,5
U1900263B,Sandy@gmail.com,Sandy,TRUE,CS,Indian,CE2004~CE2003~,0~0~,7
U1900264B,Max@gmail.com,Max,FALSE,CS,Indian,CE2003~CE2004~,0~0~,7
W12345,Wiat@gmail.com,waiter,TRUE,WAIT,Alien,CE2004~CE2003~,0~0~,7
U1888888R,rtt@e.ntu.edu.sg,ning,FALSE,SOSS,Malaysian,,,0
